"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000161647",159.566408849098,1.74649175912593,0.222332228404504,7.85532431199501,3.98739049911917e-15,5.25121992253564e-13,"MPP3"
"ENSG00000162426",171.56402069617,1.41510822324751,0.180845986294475,7.82493574915878,5.07916253361152e-15,6.63137211823677e-13,"SLC45A1"
"ENSG00000179820",5333.81269432854,1.44810988056992,0.185973784603328,7.78663446387703,6.88176766135691e-15,8.90806591720089e-13,"MYADM"
"ENSG00000119139",5612.32457620331,1.99088284296211,0.256147054046058,7.7724213943297,7.69997887945487e-15,9.88272712960542e-13,"TJP2"
"ENSG00000136999",446.971397273606,-2.60283138452495,0.336934702746025,-7.72503207093784,1.11825185449857e-14,1.4231869190236e-12,"NOV"
"ENSG00000146250",313.821137829102,-2.69619726269475,0.34973280811736,-7.70930607628319,1.26503687070014e-14,1.59658195056281e-12,"PRSS35"
"ENSG00000152332",3008.20914259827,0.671891951669744,0.0874973378176322,7.67899879502787,1.60336743891841e-14,2.00685949276193e-12,"UHMK1"
"ENSG00000112773",525.998125166656,-1.22092415295821,0.159116809053695,-7.67313120605753,1.67847640226963e-14,2.08364959937488e-12,"FAM46A"
"ENSG00000140545",9643.89243351853,1.18720743184527,0.155028139136996,7.65801252891359,1.88832469265512e-14,2.32509572928958e-12,"MFGE8"
"ENSG00000136478",3731.86033954668,1.50655966469971,0.197423127194148,7.6311204574231,2.32722098861538e-14,2.84240015101452e-12,"TEX2"
"ENSG00000049323",20410.0860039713,0.715134067394559,0.0938836017859727,7.61724149681493,2.59154210107503e-14,3.13991240966251e-12,"LTBP1"
"ENSG00000122966",304.385980392181,-1.63486753393722,0.214733452557757,-7.61347388804027,2.66825253918787e-14,3.20719719888891e-12,"CIT"
"ENSG00000132356",2379.48217418789,0.743612622373498,0.0977592792212166,7.60656817743919,2.81469779332152e-14,3.35658252597279e-12,"PRKAA1"
"ENSG00000077254",2760.44083059498,0.807688182504276,0.106911629571714,7.55472707449938,4.19739071804201e-14,4.9663658144333e-12,"USP33"
"ENSG00000168234",600.327691176793,0.857602129254088,0.113596083687219,7.54957478653445,4.36681582297138e-14,5.1267771813102e-12,"TTC39C"
"ENSG00000113456",1042.060350359,0.795063831694826,0.105730300580708,7.51973490407249,5.48874186359406e-14,6.39438427108707e-12,"RAD1"
"ENSG00000157110",3434.9371292854,0.814964467011278,0.108466338652226,7.51352426142348,5.75564702100847e-14,6.65414306360102e-12,"RBPMS"
